level, count
0,0
1,0
2,22
3,24
4,40
5,88
6,67
7,134
8,52
9,143
10,220
11,159
12,175
13,185
14,225
15,243
16,271
17,396
18,272
19,426
20,400
21,509
22,516
23,813
24,586
25,687
26,956
27,856
28,1035
29,1008
30,932
31,1119
32,1274
33,1279
34,1054
35,1400
36,1252
37,1686
38,1293
39,1396
40,1695
41,1339
42,1492
43,1379
44,1397
45,1562
46,1604
47,1436
48,1511
49,1454
50,1443
51,1480
52,1504
53,1312
54,1342
55,1478
56,1275
57,1416
58,1395
59,1304
60,1329
61,1327
62,1311
63,1374
64,1440
65,1249
66,1436
67,1341
68,1379
69,1337
70,1394
71,1448
72,1173
73,1494
74,1401
75,1236
76,1372
77,1419
78,1639
79,1365
80,1496
81,1333
82,1564
83,1481
84,1507
85,1516
86,1492
87,1492
88,1430
89,1604
90,1310
91,1690
92,1342
93,1439
94,1439
95,1431
96,1460
97,1486
98,1301
99,1304
100,1370
101,1288
102,1297
103,1255
104,1348
105,1207
106,1206
107,1152
108,1195
109,1210
110,1114
111,1209
112,1227
113,1176
114,1080
115,1116
116,1126
117,1042
118,1114
119,970
120,1046
121,984
122,1011
123,1013
124,985
125,915
126,974
127,897
128,974
129,983
130,866
131,912
132,978
133,907
134,984
135,895
136,878
137,945
138,854
139,901
140,907
141,893
142,895
143,1011
144,922
145,957
146,942
147,1023
148,941
149,973
150,1001
151,1015
152,1014
153,1029
154,1052
155,1084
156,999
157,1147
158,1034
159,1119
160,1144
161,1164
162,1235
163,1144
164,1215
165,1264
166,1157
167,1342
168,1201
169,1279
170,1361
171,1417
172,1385
173,1462
174,1364
175,1510
176,1333
177,1427
178,1323
179,1481
180,1421
181,1336
182,1381
183,1379
184,1403
185,1384
186,1387
187,1278
188,1353
189,1240
190,1254
191,1391
192,1177
193,1236
194,1270
195,1220
196,1176
197,1332
198,1156
199,1136
200,1164
201,1235
202,1198
203,1228
204,1171
205,1145
206,1236
207,1288
208,1240
209,1327
210,1284
211,1304
212,1342
213,1360
214,1397
215,1365
216,1488
217,1383
218,1544
219,1473
220,1560
221,1662
222,1689
223,1906
224,1618
225,1520
226,1597
227,1465
228,1468
229,1556
230,1623
231,1646
232,1637
233,1629
234,1493
235,1271
236,1479
237,1519
238,1685
239,2344
240,2556
241,2419
242,3296
243,4438
244,4104
245,7702
246,23258
247,45602
248,49112
249,56584
250,92724
251,20449
252,354
253,27
254,5
255,0
